theme,count,pct_rows_with_theme
[],14,0.03
"['artistic freedom' 'criticism of formalism' 'nature as inspiration'
 'authentic creativity' ""poet's struggle""]",2,0.0
['farewell' 'loss' 'acceptance' 'nature' 'hope'],2,0.0
['love satire' 'romantic folly' 'historical allusion' 'social critique'],2,0.0
['tragic love' 'jealousy' 'sacrifice' 'death' 'mourning'],2,0.0
"['historical nostalgia' 'lost liberty' 'nature reflection'
 'memory and dreams']",2,0.0
"['poetic lineage' 'immortality' 'nature cycles' 'memory inheritance'
 'creative inspiration']",2,0.0
"['nature worship' 'spiritual reverence' 'human alienation'
 'cosmic harmony' 'environmental awe']",2,0.0
['nature beauty' 'memory' 'solitude' 'inspiration' 'joy'],2,0.0
"['unfulfilled aspirations' 'inner conflict' 'daily struggles'
 'search for higher self' 'disillusionment']",2,0.0
"['existential conflict' 'mortality' 'search for peace' 'nature metaphor'
 'spiritual yearning']",2,0.0
"['southern landscape' 'personified south' 'slavery and labor'
 'war and loss' 'hopeful renewal']",2,0.0
['death' 'mourning' 'nature symbolism' 'afterlife' 'grief'],2,0.0
"['war departure' 'loss and mourning' 'unknown front' ""women's grief""
 'silence of return']",2,0.0
['betrayal' 'guilt' 'repentance' 'death' 'shame'],2,0.0
['autumn decay' 'mortality of nature' 'grief and loss' 'ephemeral beauty'],1,0.0
"['spiritual renewal' 'faith amid suffering' 'divine love' 'inner strength'
 'hope']",1,0.0
['inevitable care' 'material futility' 'acceptance' 'human anxiety'],1,0.0
['neglect' 'beauty decay' 'artistic preservation'],1,0.0
['divine acceptance' 'universal salvation' 'eternal inclusion'],1,0.0
